,Subject,Condition,Emotion,Block,Image,IntrusionRating,Timing,Length
210,34LME,DecodingThink,Emotion,3,People_209_v.jpg,1,2540,20
211,34LME,DecodingThink,Emotion,4,Animals_039_h.jpg,2,410,20
212,34LME,DecodingThink,Neutral,4,People_148_h.jpg,1,690,20
213,34LME,DecodingThink,Neutral,4,People_148_h.jpg,1,1590,20
214,34LME,DecodingThink,Emotion,4,People_077_v.jpg,2,2400,20
215,34LME,DecodingThink,Emotion,4,People_220_h.jpg,1,2760,20
216,34LME,DecodingThink,Emotion,4,Objects_126_h.jpg,1,2370,20
217,34LME,DecodingThink,Emotion,4,Objects_088_h.jpg,1,330,20
218,34LME,DecodingThink,Emotion,4,Objects_088_h.jpg,1,660,20
219,34LME,DecodingThink,Emotion,4,Animals_041_h.jpg,2,1230,20
220,34LME,DecodingThink,Neutral,4,Faces_211_h.jpg,1,2280,20
221,34LME,DecodingThink,Neutral,4,Faces_211_h.jpg,1,2380,20
222,34LME,DecodingThink,Neutral,5,Animals_213_h.jpg,2,490,20
223,34LME,DecodingThink,Neutral,5,Animals_213_h.jpg,2,1790,20
224,34LME,DecodingThink,Emotion,5,Objects_088_h.jpg,1,2030,20
225,34LME,DecodingThink,Emotion,5,People_220_h.jpg,1,390,20
226,34LME,DecodingThink,Neutral,5,Animals_132_h.jpg,1,510,20
227,34LME,DecodingThink,Neutral,5,Animals_132_h.jpg,1,1520,20
228,34LME,DecodingThink,Neutral,5,Faces_211_h.jpg,2,660,20
229,34LME,DecodingThink,Emotion,6,People_077_v.jpg,2,1480,20
230,34LME,DecodingThink,Neutral,6,People_091_h.jpg,1,1340,20
231,34LME,DecodingThink,Emotion,6,Animals_078_h.jpg,1,1190,20
232,34LME,DecodingThink,Emotion,6,Animals_078_h.jpg,1,2190,20
233,34LME,DecodingThink,Neutral,6,People_097_h.jpg,1,2800,20
234,34LME,DecodingThink,Neutral,6,Faces_211_h.jpg,2,330,20
235,34LME,DecodingThink,Emotion,7,Animals_041_h.jpg,1,1900,20
236,34LME,DecodingThink,Emotion,7,Animals_039_h.jpg,2,890,20
237,34LME,DecodingThink,Neutral,7,Objects_242_h.jpg,1,1270,20
238,34LME,DecodingThink,Neutral,7,Animals_213_h.jpg,1,2110,20
239,34LME,DecodingThink,Emotion,7,People_077_v.jpg,1,490,20
240,34LME,DecodingThink,Neutral,7,Faces_184_h.jpg,1,950,20
241,34LME,DecodingThink,Emotion,8,People_209_v.jpg,1,1870,20
242,34LME,DecodingThink,Neutral,8,People_179_h.jpg,1,2240,20
243,35QSY,DecodingThink,Neutral,1,People_149_h.jpg,2,2430,20
244,35QSY,DecodingThink,Neutral,1,People_026_h.jpg,2,220,20
245,35QSY,DecodingThink,Neutral,1,People_026_h.jpg,2,1190,20
246,35QSY,DecodingThink,Neutral,1,People_100_h.jpg,1,2860,20
247,35QSY,DecodingThink,Emotion,1,People_247_v.jpg,1,840,20
248,35QSY,DecodingThink,Emotion,1,Objects_007_h.jpg,2,2950,20
249,35QSY,DecodingThink,Neutral,1,Faces_065_h.jpg,2,1090,20
250,35QSY,DecodingThink,Neutral,1,Objects_270_h.jpg,1,2640,20
251,35QSY,DecodingThink,Emotion,1,Objects_021_v.jpg,2,2850,20
252,35QSY,DecodingThink,Emotion,1,Animals_062_h.jpg,2,2250,20
253,35QSY,DecodingThink,Neutral,1,Faces_061_h.jpg,1,2950,20
254,35QSY,DecodingThink,Neutral,1,Animals_108_h.jpg,1,1430,20
255,35QSY,DecodingThink,Emotion,1,Objects_125_h.jpg,1,2670,20
256,35QSY,DecodingThink,Neutral,2,Objects_164_h.jpg,1,2370,20
257,35QSY,DecodingThink,Emotion,2,People_247_v.jpg,1,1540,20
258,35QSY,DecodingThink,Emotion,2,People_247_v.jpg,1,2260,20
259,35QSY,DecodingThink,Emotion,2,People_247_v.jpg,1,2750,20
260,35QSY,DecodingThink,Neutral,2,People_151_h.jpg,2,270,20
261,35QSY,DecodingThink,Neutral,2,People_151_h.jpg,2,1470,20
262,35QSY,DecodingThink,Neutral,2,People_151_h.jpg,2,1730,20
263,35QSY,DecodingThink,Neutral,2,People_151_h.jpg,2,1940,20
264,35QSY,DecodingThink,Neutral,2,People_151_h.jpg,2,2020,20
265,35QSY,DecodingThink,Neutral,2,People_151_h.jpg,2,2270,20
266,35QSY,DecodingThink,Neutral,2,People_151_h.jpg,2,2480,20
267,35QSY,DecodingThink,Emotion,2,Objects_125_h.jpg,1,1170,20
268,35QSY,DecodingThink,Neutral,2,People_149_h.jpg,2,220,20
269,35QSY,DecodingThink,Neutral,2,People_149_h.jpg,2,2810,20
270,35QSY,DecodingThink,Emotion,2,Faces_296_h.jpg,1,450,20
271,35QSY,DecodingThink,Neutral,2,People_028_h.jpg,3,350,20
272,35QSY,DecodingThink,Neutral,2,People_028_h.jpg,3,2020,20
273,35QSY,DecodingThink,Neutral,2,People_028_h.jpg,3,2130,20
274,35QSY,DecodingThink,Emotion,2,Animals_062_h.jpg,1,320,20
275,35QSY,DecodingThink,Emotion,2,Animals_062_h.jpg,1,560,20
276,35QSY,DecodingThink,Emotion,2,People_213_v.jpg,2,2520,20
277,35QSY,DecodingThink,Neutral,2,Faces_061_h.jpg,1,2870,20
278,35QSY,DecodingThink,Emotion,3,People_247_v.jpg,1,2160,20
279,35QSY,DecodingThink,Emotion,3,People_247_v.jpg,1,2610,20
280,35QSY,DecodingThink,Neutral,3,Faces_061_h.jpg,2,2890,20
281,35QSY,DecodingThink,Emotion,3,Animals_018_h.jpg,1,390,20
282,35QSY,DecodingThink,Emotion,3,Faces_296_h.jpg,1,230,20
283,35QSY,DecodingThink,Emotion,3,Faces_296_h.jpg,1,880,20
284,35QSY,DecodingThink,Emotion,3,Faces_296_h.jpg,1,1530,20
285,35QSY,DecodingThink,Emotion,3,Animals_062_h.jpg,1,370,20
286,35QSY,DecodingThink,Emotion,3,Animals_062_h.jpg,1,1760,20
287,35QSY,DecodingThink,Neutral,3,Faces_065_h.jpg,1,570,20
288,35QSY,DecodingThink,Neutral,3,Animals_108_h.jpg,1,280,20
289,35QSY,DecodingThink,Neutral,3,Objects_270_h.jpg,1,220,20
290,35QSY,DecodingThink,Neutral,3,Objects_270_h.jpg,1,470,20
291,35QSY,DecodingThink,Neutral,3,Objects_270_h.jpg,1,560,20
292,35QSY,DecodingThink,Neutral,3,Objects_270_h.jpg,1,2760,20
293,35QSY,DecodingThink,Neutral,3,Animals_155_v.jpg,2,1010,20
294,35QSY,DecodingThink,Neutral,3,People_026_h.jpg,1,2300,20
295,35QSY,DecodingThink,Emotion,4,Animals_062_h.jpg,1,260,20
296,35QSY,DecodingThink,Emotion,4,Animals_062_h.jpg,1,890,20
297,35QSY,DecodingThink,Emotion,4,Animals_062_h.jpg,1,1010,20
298,35QSY,DecodingThink,Neutral,4,Faces_065_h.jpg,1,330,20
299,35QSY,DecodingThink,Neutral,4,Faces_065_h.jpg,1,1850,20
300,35QSY,DecodingThink,Emotion,4,People_213_v.jpg,1,440,20
301,35QSY,DecodingThink,Emotion,4,People_247_v.jpg,1,1650,20
302,35QSY,DecodingThink,Emotion,4,People_247_v.jpg,1,2360,20
303,35QSY,DecodingThink,Neutral,4,Objects_164_h.jpg,1,320,20
304,35QSY,DecodingThink,Neutral,4,People_151_h.jpg,1,1530,20
305,35QSY,DecodingThink,Neutral,4,People_149_h.jpg,2,610,20
306,35QSY,DecodingThink,Neutral,4,People_149_h.jpg,2,2650,20
307,35QSY,DecodingThink,Neutral,4,Objects_270_h.jpg,1,750,20
308,35QSY,DecodingThink,Neutral,4,Objects_270_h.jpg,1,1820,20
309,35QSY,DecodingThink,Neutral,4,Objects_270_h.jpg,1,2120,20
310,35QSY,DecodingThink,Neutral,4,Objects_270_h.jpg,1,2910,20
311,35QSY,DecodingThink,Emotion,4,People_223_h.jpg,1,1660,20
312,35QSY,DecodingThink,Emotion,4,Objects_106_v.jpg,1,450,20
313,35QSY,DecodingThink,Emotion,4,Objects_106_v.jpg,1,2160,20
314,35QSY,DecodingThink,Neutral,4,Faces_060_h.jpg,1,1800,20
315,35QSY,DecodingThink,Neutral,4,Faces_060_h.jpg,1,2460,20
316,35QSY,DecodingThink,Emotion,4,Objects_007_h.jpg,1,630,20
317,35QSY,DecodingThink,Emotion,4,Objects_007_h.jpg,1,1550,20
318,35QSY,DecodingThink,Emotion,4,Objects_007_h.jpg,1,2090,20
319,35QSY,DecodingThink,Emotion,4,Objects_013_h.jpg,1,410,20
320,35QSY,DecodingThink,Emotion,4,Objects_013_h.jpg,1,860,20
321,35QSY,DecodingThink,Emotion,4,Objects_013_h.jpg,1,940,20
322,35QSY,DecodingThink,Emotion,4,Objects_013_h.jpg,1,2100,20
323,35QSY,DecodingThink,Emotion,4,Objects_013_h.jpg,1,2910,20
324,35QSY,DecodingThink,Neutral,5,Objects_270_h.jpg,1,2790,20
325,35QSY,DecodingThink,Emotion,5,Objects_013_h.jpg,1,2670,20
326,35QSY,DecodingThink,Neutral,5,Objects_164_h.jpg,2,1470,20
327,35QSY,DecodingThink,Neutral,5,Objects_164_h.jpg,2,1750,20
328,35QSY,DecodingThink,Neutral,5,Objects_164_h.jpg,2,2380,20
329,35QSY,DecodingThink,Emotion,5,Objects_007_h.jpg,1,1840,20
330,35QSY,DecodingThink,Neutral,5,Animals_108_h.jpg,1,1600,20
331,35QSY,DecodingThink,Neutral,5,People_026_h.jpg,1,1810,20
332,35QSY,DecodingThink,Neutral,5,People_026_h.jpg,1,2670,20
333,35QSY,DecodingThink,Neutral,5,People_026_h.jpg,1,2940,20
334,35QSY,DecodingThink,Emotion,5,People_247_v.jpg,1,2300,20
335,35QSY,DecodingThink,Emotion,5,People_239_h.jpg,2,240,20
336,35QSY,DecodingThink,Emotion,5,People_239_h.jpg,2,1180,20
337,35QSY,DecodingThink,Emotion,5,People_239_h.jpg,2,2320,20
