,Subject,Condition,Time,Length,AUC,Percent_intrusion
4919,56BCL,No-Think,13,5,0.5217810862972153,
4920,56BCL,No-Think,14,1,0.5,
4921,56BCL,No-Think,14,2,0.4886269644334161,
4922,56BCL,No-Think,14,3,0.5005514199062586,
4923,56BCL,No-Think,14,4,0.5262613730355666,
4924,56BCL,No-Think,14,5,0.5078577336641853,
4925,56BCL,No-Think,15,1,0.49241797628894407,
4926,56BCL,No-Think,15,2,0.5323959194926937,
4927,56BCL,No-Think,15,3,0.5060656189688447,
4928,56BCL,No-Think,15,4,0.5184725668596636,
4929,56BCL,No-Think,15,5,0.511373035566584,
4930,56BCL,No-Think,16,1,0.4843534601599118,
4931,56BCL,No-Think,16,2,0.5344637441411635,
4932,56BCL,No-Think,16,3,0.49379652605459057,
4933,56BCL,No-Think,16,4,0.49572649572649574,
4934,56BCL,No-Think,16,5,0.5,
4935,56BCL,No-Think,17,1,0.47870140612076095,
4936,56BCL,No-Think,17,2,0.49083264405845056,
4937,56BCL,No-Think,17,3,0.5232285635511442,
4938,56BCL,No-Think,17,4,0.5,
4939,56BCL,No-Think,17,5,0.5,
4940,56BCL,No-Think,18,1,0.49241797628894407,
4941,56BCL,No-Think,18,2,0.49365867107802597,
4942,56BCL,No-Think,18,3,0.5033085194375516,
4943,56BCL,No-Think,18,4,0.49572649572649574,
4944,56BCL,No-Think,18,5,0.5,
4945,56BCL,No-Think,19,1,0.496208988144472,
4946,56BCL,No-Think,19,2,0.5394954507857734,
4947,56BCL,No-Think,19,3,0.4713950923628343,
4948,56BCL,No-Think,19,4,0.4975875379101185,
4949,56BCL,No-Think,19,5,0.4995175075820237,
4950,56BCL,No-Think,20,1,0.5042735042735043,
4951,56BCL,No-Think,20,2,0.5679625034463744,
4952,56BCL,No-Think,20,3,0.5696167631651503,
4953,56BCL,No-Think,20,4,0.5374276261373035,
4954,56BCL,No-Think,20,5,0.5066170388751033,
4955,56BCL,No-Think,21,1,0.5,
4956,56BCL,No-Think,21,2,0.5831954783567687,
4957,56BCL,No-Think,21,3,0.5046181417149159,
4958,56BCL,No-Think,21,4,0.5061345464571271,
4959,56BCL,No-Think,21,5,0.507582023711056,
4960,56BCL,No-Think,22,1,0.5,
4961,56BCL,No-Think,22,2,0.4963468431210367,
4962,56BCL,No-Think,22,3,0.5122001654259719,
4963,56BCL,No-Think,22,4,0.5175075820237109,
4964,56BCL,No-Think,22,5,0.5279845602426247,
4965,56BCL,No-Think,23,1,0.5085470085470085,
4966,56BCL,No-Think,23,2,0.5000689274882824,
4967,56BCL,No-Think,23,3,0.44713261648745517,
4968,56BCL,No-Think,23,4,0.4372759856630824,
4969,56BCL,No-Think,23,5,0.4691204852495175,
4970,56BCL,No-Think,24,1,0.5,
4971,56BCL,No-Think,24,2,0.5095119933829612,
4972,56BCL,No-Think,24,3,0.5261924455472843,
4973,56BCL,No-Think,24,4,0.5225392886683209,
4974,56BCL,No-Think,24,5,0.5700992555831266,
4975,56BCL,No-Think,25,1,0.5,
4976,56BCL,No-Think,25,2,0.5090295009649848,
4977,56BCL,No-Think,25,3,0.5309484422387649,
4978,56BCL,No-Think,25,4,0.5827819134270746,
4979,56BCL,No-Think,25,5,0.5487317342156052,
4980,56BCL,No-Think,26,1,0.49193548387096775,
4981,56BCL,No-Think,26,2,0.4971739729804246,
4982,56BCL,No-Think,26,3,0.5437689550592777,
4983,56BCL,No-Think,26,4,0.5837468982630273,
4984,56BCL,No-Think,26,5,0.5250206782464847,
4985,56BCL,No-Think,27,1,0.49193548387096775,
4986,56BCL,No-Think,27,2,0.5195064791838986,
4987,56BCL,No-Think,27,3,0.4798042459332782,
4988,56BCL,No-Think,27,4,0.4557485525227461,
4989,56BCL,No-Think,27,5,0.48904052936311,
4990,56BCL,No-Think,28,1,0.496208988144472,
4991,56BCL,No-Think,28,2,0.4858009374138406,
4992,56BCL,No-Think,28,3,0.5277088502894954,
4993,56BCL,No-Think,28,4,0.518334711883099,
4994,56BCL,No-Think,28,5,0.5150951199338296,
4995,56BCL,No-Think,29,1,0.5042735042735043,
4996,56BCL,No-Think,29,2,0.47773642128480837,
4997,56BCL,No-Think,29,3,0.48786876206231045,
4998,56BCL,No-Think,29,4,0.49462365591397855,
4999,56BCL,No-Think,29,5,0.5246071133167908,
5000,57NCO,Think,5,1,,98.22485207100591
5001,57NCO,Think,5,2,,47.928994082840234
5002,57NCO,Think,5,3,,8.284023668639055
5003,57NCO,Think,5,4,,2.366863905325444
5004,57NCO,Think,5,5,,0.0
5005,57NCO,Think,6,1,,88.75739644970415
5006,57NCO,Think,6,2,,17.75147928994083
5007,57NCO,Think,6,3,,1.183431952662722
5008,57NCO,Think,6,4,,0.0
5009,57NCO,Think,6,5,,0.0
5010,57NCO,Think,7,1,,51.4792899408284
5011,57NCO,Think,7,2,,5.325443786982249
5012,57NCO,Think,7,3,,0.591715976331361
5013,57NCO,Think,7,4,,0.0
5014,57NCO,Think,7,5,,0.0
5015,57NCO,Think,8,1,,89.94082840236686
5016,57NCO,Think,8,2,,32.544378698224854
5017,57NCO,Think,8,3,,4.733727810650888
5018,57NCO,Think,8,4,,0.591715976331361
5019,57NCO,Think,8,5,,0.591715976331361
5020,57NCO,Think,9,1,,96.44970414201184
5021,57NCO,Think,9,2,,58.57988165680473
5022,57NCO,Think,9,3,,15.976331360946746
5023,57NCO,Think,9,4,,4.142011834319527
5024,57NCO,Think,9,5,,1.183431952662722
5025,57NCO,Think,10,1,,92.89940828402366
5026,57NCO,Think,10,2,,50.29585798816568
5027,57NCO,Think,10,3,,17.75147928994083
5028,57NCO,Think,10,4,,5.325443786982249
5029,57NCO,Think,10,5,,0.591715976331361
5030,57NCO,Think,11,1,,95.26627218934911
5031,57NCO,Think,11,2,,69.8224852071006
5032,57NCO,Think,11,3,,33.72781065088758
5033,57NCO,Think,11,4,,16.56804733727811
5034,57NCO,Think,11,5,,12.42603550295858
5035,57NCO,Think,12,1,,99.40828402366864
5036,57NCO,Think,12,2,,82.24852071005917
5037,57NCO,Think,12,3,,46.74556213017752
5038,57NCO,Think,12,4,,31.952662721893493
5039,57NCO,Think,12,5,,20.118343195266274
5040,57NCO,Think,13,1,,97.63313609467455
5041,57NCO,Think,13,2,,88.16568047337277
5042,57NCO,Think,13,3,,60.35502958579882
5043,57NCO,Think,13,4,,36.68639053254438
5044,57NCO,Think,13,5,,25.443786982248522
5045,57NCO,Think,14,1,,91.12426035502959
5046,57NCO,Think,14,2,,46.15384615384615
5047,57NCO,Think,14,3,,13.017751479289942
5048,57NCO,Think,14,4,,5.9171597633136095
5049,57NCO,Think,14,5,,3.5502958579881656
5050,57NCO,Think,15,1,,98.81656804733728
5051,57NCO,Think,15,2,,55.62130177514793
5052,57NCO,Think,15,3,,15.976331360946746
5053,57NCO,Think,15,4,,4.142011834319527
5054,57NCO,Think,15,5,,2.9585798816568047
5055,57NCO,Think,16,1,,81.65680473372781
5056,57NCO,Think,16,2,,31.360946745562128
5057,57NCO,Think,16,3,,6.508875739644971
5058,57NCO,Think,16,4,,0.591715976331361
5059,57NCO,Think,16,5,,0.591715976331361
5060,57NCO,Think,17,1,,81.06508875739645
5061,57NCO,Think,17,2,,12.42603550295858
5062,57NCO,Think,17,3,,1.183431952662722
5063,57NCO,Think,17,4,,0.0
5064,57NCO,Think,17,5,,0.0
5065,57NCO,Think,18,1,,36.09467455621302
5066,57NCO,Think,18,2,,1.7751479289940828
5067,57NCO,Think,18,3,,0.0
5068,57NCO,Think,18,4,,0.0
5069,57NCO,Think,18,5,,0.0
5070,57NCO,Think,19,1,,68.04733727810651
5071,57NCO,Think,19,2,,4.142011834319527
5072,57NCO,Think,19,3,,0.0
5073,57NCO,Think,19,4,,0.0
5074,57NCO,Think,19,5,,0.0
5075,57NCO,Think,20,1,,55.62130177514793
5076,57NCO,Think,20,2,,5.9171597633136095
5077,57NCO,Think,20,3,,0.0
5078,57NCO,Think,20,4,,0.0
5079,57NCO,Think,20,5,,0.0
5080,57NCO,Think,21,1,,73.96449704142012
5081,57NCO,Think,21,2,,15.976331360946746
5082,57NCO,Think,21,3,,1.183431952662722
5083,57NCO,Think,21,4,,1.183431952662722
5084,57NCO,Think,21,5,,0.591715976331361
5085,57NCO,Think,22,1,,88.75739644970415
5086,57NCO,Think,22,2,,31.360946745562128
5087,57NCO,Think,22,3,,2.9585798816568047
5088,57NCO,Think,22,4,,1.183431952662722
5089,57NCO,Think,22,5,,0.0
5090,57NCO,Think,23,1,,97.63313609467455
5091,57NCO,Think,23,2,,63.31360946745562
5092,57NCO,Think,23,3,,23.668639053254438
5093,57NCO,Think,23,4,,8.284023668639055
5094,57NCO,Think,23,5,,4.733727810650888
5095,57NCO,Think,24,1,,95.85798816568047
5096,57NCO,Think,24,2,,54.437869822485204
5097,57NCO,Think,24,3,,17.75147928994083
5098,57NCO,Think,24,4,,6.508875739644971
5099,57NCO,Think,24,5,,4.142011834319527
5100,57NCO,Think,25,1,,94.0828402366864
5101,57NCO,Think,25,2,,46.15384615384615
5102,57NCO,Think,25,3,,10.059171597633137
5103,57NCO,Think,25,4,,1.7751479289940828
5104,57NCO,Think,25,5,,0.591715976331361
5105,57NCO,Think,26,1,,78.10650887573965
5106,57NCO,Think,26,2,,15.384615384615385
5107,57NCO,Think,26,3,,0.591715976331361
5108,57NCO,Think,26,4,,0.0
5109,57NCO,Think,26,5,,0.0
5110,57NCO,Think,27,1,,85.79881656804734
5111,57NCO,Think,27,2,,12.42603550295858
5112,57NCO,Think,27,3,,0.591715976331361
5113,57NCO,Think,27,4,,0.0
5114,57NCO,Think,27,5,,0.0
5115,57NCO,Think,28,1,,89.3491124260355
5116,57NCO,Think,28,2,,40.23668639053255
5117,57NCO,Think,28,3,,10.059171597633137
5118,57NCO,Think,28,4,,3.5502958579881656
5119,57NCO,Think,28,5,,0.591715976331361
5120,57NCO,Think,29,1,,81.65680473372781
5121,57NCO,Think,29,2,,15.976331360946746
5122,57NCO,Think,29,3,,2.9585798816568047
5123,57NCO,Think,29,4,,1.7751479289940828
5124,57NCO,Think,29,5,,0.591715976331361
5125,57NCO,No-Think,5,1,0.5,
5126,57NCO,No-Think,5,2,0.7310126582278481,
5127,57NCO,No-Think,5,3,0.43670886075949367,
5128,57NCO,No-Think,5,4,0.4810126582278481,
5129,57NCO,No-Think,5,5,0.49683544303797467,
5130,57NCO,No-Think,6,1,0.5379746835443038,
5131,57NCO,No-Think,6,2,0.8259493670886076,
5132,57NCO,No-Think,6,3,0.9525316455696202,
5133,57NCO,No-Think,6,4,0.48417721518987344,
5134,57NCO,No-Think,6,5,0.4873417721518987,
5135,57NCO,No-Think,7,1,0.24683544303797467,
5136,57NCO,No-Think,7,2,0.47468354430379744,
5137,57NCO,No-Think,7,3,0.5,
5138,57NCO,No-Think,7,4,0.5,
5139,57NCO,No-Think,7,5,0.5,
5140,57NCO,No-Think,8,1,0.5727848101265822,
5141,57NCO,No-Think,8,2,0.3860759493670886,
5142,57NCO,No-Think,8,3,0.4873417721518987,
5143,57NCO,No-Think,8,4,0.4936708860759494,
5144,57NCO,No-Think,8,5,0.49683544303797467,
5145,57NCO,No-Think,9,1,0.5379746835443038,
5146,57NCO,No-Think,9,2,0.2784810126582279,
5147,57NCO,No-Think,9,3,0.4240506329113924,
5148,57NCO,No-Think,9,4,0.4651898734177215,
5149,57NCO,No-Think,9,5,0.48417721518987344,
5150,57NCO,No-Think,10,1,0.5917721518987342,
5151,57NCO,No-Think,10,2,0.8164556962025317,
5152,57NCO,No-Think,10,3,0.4462025316455696,
5153,57NCO,No-Think,10,4,0.48417721518987344,
5154,57NCO,No-Think,10,5,0.4936708860759494,
5155,57NCO,No-Think,11,1,0.5379746835443038,
5156,57NCO,No-Think,11,2,0.6803797468354431,
